target,server
scratch-MDT0000,MDS0
scratch-MDT0001,MDS0
scratch-MDT0002,MDS1
scratch-MDT0003,MDS1
scratch-OST0000,OSS0
scratch-OST0001,OSS0
scratch-OST0002,OSS0
scratch-OST0003,OSS1
scratch-OST0004,OSS1
scratch-OST0005,OSS1
scratch-OST0006,OSS2
scratch-OST0007,OSS2
scratch-OST0008,OSS2
scratch-OST0009,OSS3
scratch-OST000a,OSS3
scratch-OST000b,OSS3
scratch-OST000c,OSS4
scratch-OST000d,OSS4
scratch-OST000e,OSS4
scratch-OST000f,OSS5
scratch-OST0010,OSS5
scratch-OST0011,OSS5
scratch-OST0012,OSS6
scratch-OST0013,OSS6
scratch-OST0014,OSS6
scratch-OST0015,OSS7
scratch-OST0016,OSS7
scratch-OST0017,OSS7
